Id,team_goals_true,opp_goals_true,team_goals_pred,opp_goals_pred,base_mae,penalty_total,official_loss,exact_hit,outcome_hit,gd_hit,team_bias,opp_bias
W007743_Trinidad and Tobago,1,4,7,0,5.0,0.7000000000000001,25.000527494434994,False,False,False,6,-4
W009608_Paraguay,10,0,1,1,5.0,0.7000000000000001,25.000527494434994,False,False,False,-9,1
W009608_Jamaica,0,10,1,1,5.0,0.7000000000000001,25.000527494434994,False,False,False,1,-9
W008111_Estonia,0,9,2,1,5.0,0.7000000000000001,25.000527494434994,False,False,False,2,-8
W010734_Suriname,1,7,4,0,5.0,0.7000000000000001,25.000527494434994,False,False,False,3,-7
W010734_Aruba,7,1,0,4,5.0,0.7000000000000001,25.000527494434994,False,False,False,-7,3
W006250_Burundi,10,1,1,2,5.0,0.7000000000000001,25.000527494434994,False,False,False,-9,1
W006250_Zanzibar,1,10,2,1,5.0,0.7000000000000001,25.000527494434994,False,False,False,1,-9
W007252_Uzbekistan,20,0,4,0,8.0,0.44999999999999996,24.563206732835187,False,True,False,-16,0
W008483_Latvia,0,20,0,4,8.0,0.44999999999999996,24.563206732835187,False,True,False,0,-16
W008607_Nicaragua,19,0,3,0,8.0,0.44999999999999996,24.563206732835187,False,True,False,-16,0
W007252_Afghanistan,0,20,0,4,8.0,0.44999999999999996,24.563206732835187,False,True,False,0,-16
W008607_Turks and Caicos Islands,0,19,0,3,8.0,0.44999999999999996,24.563206732835187,False,True,False,0,-16
W008483_England,20,0,4,0,8.0,0.44999999999999996,24.563206732835187,False,True,False,-16,0
M035568_Raetia,1,17,1,2,7.5,0.44999999999999996,22.415616765995978,False,True,False,0,-15
M035568_Gozo,17,1,2,1,7.5,0.44999999999999996,22.415616765995978,False,True,False,-15,0
W005022_Kuwait,0,21,0,6,7.5,0.44999999999999996,22.415616765995978,False,True,False,0,-15
W005022_Jordan,21,0,6,0,7.5,0.44999999999999996,22.415616765995978,False,True,False,-15,0
W008452_Belgium,19,0,4,0,7.5,0.44999999999999996,22.415616765995978,False,True,False,-15,0
W008452_Armenia,0,19,0,4,7.5,0.44999999999999996,22.415616765995978,False,True,False,0,-15
W011137_Libya,0,16,1,2,7.5,0.44999999999999996,22.415616765995978,False,True,False,1,-14
W011137_Chad,16,0,2,1,7.5,0.44999999999999996,22.415616765995978,False,True,False,-14,1
M048561_Fiji,0,8,2,1,4.5,0.7000000000000001,21.78421446827955,False,False,False,2,-7
M048561_Hong Kong,8,0,1,2,4.5,0.7000000000000001,21.78421446827955,False,False,False,-7,2
W007190_Jamaica,9,0,1,1,4.5,0.7000000000000001,21.78421446827955,False,False,False,-8,1
W008213_Canada,1,1,9,0,4.5,0.7000000000000001,21.78421446827955,False,False,False,8,-1
W007190_Cuba,0,9,1,1,4.5,0.7000000000000001,21.78421446827955,False,False,False,1,-8
W010385_Kosovo,8,0,1,2,4.5,0.7000000000000001,21.78421446827955,False,False,False,-7,2
W010385_Estonia,0,8,2,1,4.5,0.7000000000000001,21.78421446827955,False,False,False,2,-7
W006398_Taiwan,0,8,2,1,4.5,0.7000000000000001,21.78421446827955,False,False,False,2,-7
W006398_Northern Ireland,8,0,1,2,4.5,0.7000000000000001,21.78421446827955,False,False,False,-7,2
W008898_Philippines,4,0,0,5,4.5,0.7000000000000001,21.78421446827955,False,False,False,-4,5
W008898_Vietnam,0,4,5,0,4.5,0.7000000000000001,21.78421446827955,False,False,False,5,-4
W010107_Curacao,3,0,0,6,4.5,0.7000000000000001,21.78421446827955,False,False,False,-3,6
W008662_Guatemala,1,2,8,0,4.5,0.7000000000000001,21.78421446827955,False,False,False,7,-2
W008662_Saint Kitts and Nevis,2,1,0,8,4.5,0.7000000000000001,21.78421446827955,False,False,False,-2,7
W010107_Trinidad and Tobago,0,3,6,0,4.5,0.7000000000000001,21.78421446827955,False,False,False,6,-3
W008213_Great Britain,1,1,0,9,4.5,0.7000000000000001,21.78421446827955,False,False,False,-1,8
W008511_Australia,18,0,4,0,7.0,0.44999999999999996,20.334542655294708,False,True,False,-14,0
W008511_Indonesia,0,18,0,4,7.0,0.44999999999999996,20.334542655294708,False,True,False,0,-14
M041596_Barawa,0,7,2,1,4.0,0.7000000000000001,18.719044446765974,False,False,False,2,-6
W010816_Bahrain,0,7,2,1,4.0,0.7000000000000001,18.719044446765974,False,False,False,2,-6
W010816_Bangladesh,7,0,1,2,4.0,0.7000000000000001,18.719044446765974,False,False,False,-6,2
W009626_Taiwan,1,4,5,0,4.0,0.7000000000000001,18.719044446765974,False,False,False,4,-4
M038490_United States Virgin Islands,1,0,0,7,4.0,0.7000000000000001,18.719044446765974,False,False,False,-1,7
W009626_Philippines,4,1,0,5,4.0,0.7000000000000001,18.719044446765974,False,False,False,-4,4
W010099_Aruba,1,0,0,7,4.0,0.7000000000000001,18.719044446765974,False,False,False,-1,7
W010099_Trinidad and Tobago,0,1,7,0,4.0,0.7000000000000001,18.719044446765974,False,False,False,7,-1
M036172_British Virgin Islands,0,7,2,1,4.0,0.7000000000000001,18.719044446765974,False,False,False,2,-6
M036172_Montserrat,7,0,1,2,4.0,0.7000000000000001,18.719044446765974,False,False,False,-6,2
M046073_Raetia,8,1,1,2,4.0,0.7000000000000001,18.719044446765974,False,False,False,-7,1
M046073_Ticino,1,8,2,1,4.0,0.7000000000000001,18.719044446765974,False,False,False,1,-7
W009172_Hong Kong,0,7,2,1,4.0,0.7000000000000001,18.719044446765974,False,False,False,2,-6
W010315_Comoros,3,1,0,6,4.0,0.7000000000000001,18.719044446765974,False,False,False,-3,5
W010315_Angola,1,3,6,0,4.0,0.7000000000000001,18.719044446765974,False,False,False,5,-3
M044167_Bermuda,8,1,1,2,4.0,0.7000000000000001,18.719044446765974,False,False,False,-7,1
M044167_Barbados,1,8,2,1,4.0,0.7000000000000001,18.719044446765974,False,False,False,1,-7
W010421_Albania,2,1,0,7,4.0,0.7000000000000001,18.719044446765974,False,False,False,-2,6
M048850_Bermuda,0,7,2,1,4.0,0.7000000000000001,18.719044446765974,False,False,False,2,-6
W007601_Mozambique,1,3,6,0,4.0,0.7000000000000001,18.719044446765974,False,False,False,5,-3
W007601_Eswatini,3,1,0,6,4.0,0.7000000000000001,18.719044446765974,False,False,False,-3,5
M048850_Curaçao,7,0,1,2,4.0,0.7000000000000001,18.719044446765974,False,False,False,-6,2
